"","symbol","date","open","high","low","close","volume","adjusted"
"1","AAPL",2024-01-02,187.149993896484,188.440002441406,183.889999389648,185.639999389648,82488700,184.532089233398
"2","AAPL",2024-01-03,184.220001220703,185.880004882812,183.429992675781,184.25,58414500,183.150390625
"3","AAPL",2024-01-04,182.149993896484,183.089996337891,180.880004882812,181.910003662109,71983600,180.824356079102
"4","AAPL",2024-01-05,181.990005493164,182.759994506836,180.169998168945,181.179992675781,62303300,180.098693847656
"5","AAPL",2024-01-08,182.089996337891,185.600006103516,181.5,185.559997558594,59144500,184.452560424805
"6","AAPL",2024-01-09,183.919998168945,185.149993896484,182.729995727539,185.139999389648,42841800,184.035064697266
"7","AAPL",2024-01-10,184.350006103516,186.399993896484,183.919998168945,186.190002441406,46792900,185.078811645508
"8","AAPL",2024-01-11,186.539993286133,187.050003051758,183.619995117188,185.589996337891,49128400,184.482360839844
"9","AAPL",2024-01-12,186.059997558594,186.740005493164,185.190002441406,185.919998168945,40444700,184.810409545898
"10","AAPL",2024-01-16,182.160003662109,184.259994506836,180.929992675781,183.630004882812,65603000,182.534088134766
"11","AAPL",2024-01-17,181.270004272461,182.929992675781,180.300003051758,182.679992675781,47317400,181.589752197266
"12","AAPL",2024-01-18,186.089996337891,189.139999389648,185.830001831055,188.630004882812,78005800,187.504257202148
"13","AAPL",2024-01-19,189.330001831055,191.949996948242,188.820007324219,191.559997558594,68741000,190.416748046875
"14","AAPL",2024-01-22,192.300003051758,195.330001831055,192.259994506836,193.889999389648,60133900,192.732849121094
"15","AAPL",2024-01-23,195.020004272461,195.75,193.830001831055,195.179992675781,42355600,194.015151977539
"16","AAPL",2024-01-24,195.419998168945,196.380004882812,194.339996337891,194.5,53631300,193.339202880859
"17","AAPL",2024-01-25,195.220001220703,196.270004272461,193.110000610352,194.169998168945,54822100,193.011184692383
"18","AAPL",2024-01-26,194.270004272461,194.759994506836,191.940002441406,192.419998168945,44594000,191.271621704102
"19","AAPL",2024-01-29,192.009994506836,192.199996948242,189.580001831055,191.729995727539,47145600,190.585739135742
"20","AAPL",2024-01-30,190.940002441406,191.800003051758,187.470001220703,188.039993286133,55859400,186.917755126953
"21","AAPL",2024-01-31,187.039993286133,187.100006103516,184.350006103516,184.399993896484,55467800,183.299468994141
"22","AAPL",2024-02-01,183.990005493164,186.949996948242,183.820007324219,186.860000610352,64885400,185.744812011719
"23","AAPL",2024-02-02,179.860000610352,187.330001831055,179.25,185.850006103516,102518000,184.740844726562
"24","AAPL",2024-02-05,188.149993896484,189.25,185.839996337891,187.679992675781,69668800,186.559906005859
"25","AAPL",2024-02-06,186.860000610352,189.309997558594,186.770004272461,189.300003051758,43490800,188.17024230957
"26","AAPL",2024-02-07,190.639999389648,191.050003051758,188.610000610352,189.410003662109,53439000,188.279602050781
"27","AAPL",2024-02-08,189.389999389648,189.539993286133,187.350006103516,188.320007324219,40962000,187.196105957031
"28","AAPL",2024-02-09,188.649993896484,189.990005493164,188,188.850006103516,45155200,187.962478637695
"29","AAPL",2024-02-12,188.419998168945,188.669998168945,186.789993286133,187.149993896484,41781900,186.270462036133
"30","AAPL",2024-02-13,185.770004272461,186.210006713867,183.509994506836,185.039993286133,56529500,184.170364379883
"31","AAPL",2024-02-14,185.320007324219,185.529998779297,182.440002441406,184.149993896484,54630500,183.284545898438
"32","AAPL",2024-02-15,183.550003051758,184.490005493164,181.350006103516,183.860000610352,65434500,182.99592590332
"33","AAPL",2024-02-16,183.419998168945,184.850006103516,181.669998168945,182.309997558594,49701400,181.453186035156
"34","AAPL",2024-02-20,181.789993286133,182.429992675781,180,181.559997558594,53665600,180.706726074219
"35","AAPL",2024-02-21,181.940002441406,182.889999389648,180.660003662109,182.320007324219,41529700,181.463180541992
"36","AAPL",2024-02-22,183.479995727539,184.960006713867,182.460006713867,184.369995117188,52292200,183.503540039062
"37","AAPL",2024-02-23,185.009994506836,185.039993286133,182.229995727539,182.520004272461,45119700,181.662216186523
"38","AAPL",2024-02-26,182.240005493164,182.759994506836,180.649993896484,181.160003662109,40867400,180.308624267578
"39","AAPL",2024-02-27,181.100006103516,183.919998168945,179.559997558594,182.630004882812,54318900,181.771697998047
"40","AAPL",2024-02-28,182.509994506836,183.119995117188,180.130004882812,181.419998168945,48953900,180.5673828125
"41","AAPL",2024-02-29,181.270004272461,182.570007324219,179.529998779297,180.75,136682600,179.900527954102
"42","AAPL",2024-03-01,179.550003051758,180.529998779297,177.380004882812,179.660003662109,73488000,178.815673828125
"43","AAPL",2024-03-04,176.149993896484,176.899993896484,173.789993286133,175.100006103516,81510100,174.277084350586
"44","AAPL",2024-03-05,170.759994506836,172.039993286133,169.619995117188,170.119995117188,95132400,169.320495605469
"45","AAPL",2024-03-06,171.059997558594,171.240005493164,168.679992675781,169.119995117188,68587700,168.325180053711
"46","AAPL",2024-03-07,169.149993896484,170.729995727539,168.490005493164,169,71765100,168.205764770508
"47","AAPL",2024-03-08,169,173.699996948242,168.940002441406,170.729995727539,76114600,169.927627563477
"48","AAPL",2024-03-11,172.940002441406,174.380004882812,172.050003051758,172.75,60139500,171.938140869141
"49","AAPL",2024-03-12,173.149993896484,174.029998779297,171.009994506836,173.229995727539,59825400,172.415863037109
"50","AAPL",2024-03-13,172.770004272461,173.190002441406,170.759994506836,171.130004882812,52488700,170.325744628906
"51","AAPL",2024-03-14,172.910003662109,174.309997558594,172.050003051758,173,72913500,172.186965942383
"52","AAPL",2024-03-15,171.169998168945,172.619995117188,170.289993286133,172.619995117188,121664700,171.808746337891
"53","AAPL",2024-03-18,175.570007324219,177.710006713867,173.520004272461,173.720001220703,75604200,172.903579711914
"54","AAPL",2024-03-19,174.339996337891,176.610000610352,173.029998779297,176.080001831055,55215200,175.252471923828
"55","AAPL",2024-03-20,175.720001220703,178.669998168945,175.089996337891,178.669998168945,53423100,177.830307006836
